text_id,missing_call
authority_00002,extract/X_equality
authority_00004,extract/X_proportionality
authority_00008,extract/D_entity
authority_00009,buildup/undecomposed
authority_00009,extract/A_order_values
authority_00015,buildup/appraisal
authority_00026,extract/D_entity
authority_00027,extract/D_entity
authority_00027,extract/X_equality
authority_00032,extract/X_proportionality
authority_00032,extract/A_order_stance
authority_00032,extract/A_order_values
authority_00033,extract/A_order_stance
authority_00035,buildup/undecomposed
authority_00038,extract/A_order_stance
authority_00065,buildup/undecomposed
authority_00066,extract/A_order_stance
authority_00073,extract/X_equality
authority_00081,extract/X_loyalty
authority_00081,extract/A_order_stance
authority_00088,buildup/undecomposed
authority_00092,extract/A_order_stance
authority_00098,extract/X_equality
authority_00107,extract/A_order_stance
authority_00111,extract/X_equality
authority_00119,extract/X_equality
authority_00131,extract/A_order_stance
authority_00156,buildup/undecomposed
authority_00157,buildup/undecomposed
authority_00159,extract/A_order_stance
authority_00164,buildup/undecomposed
authority_00167,extract/X_equality
authority_00171,extract/X_proportionality
authority_00173,extract/A_order_stance
authority_00176,extract/X_equality
authority_00182,buildup/undecomposed
authority_00182,extract/D_entity
authority_00191,buildup/undecomposed
authority_00191,extract/X_equality
authority_00192,buildup/undecomposed
authority_00193,extract/A_order_stance
authority_00195,extract/A_order_stance
authority_00207,extract/X_proportionality
authority_00217,extract/D_entity
authority_00227,extract/A_order_stance
authority_00235,buildup/undecomposed
authority_00236,buildup/undecomposed
authority_00239,extract/X_equality
authority_00253,buildup/undecomposed
authority_00255,buildup/undecomposed
authority_00257,extract/D_entity
authority_00257,extract/X_equality
authority_00260,buildup/undecomposed
authority_00267,buildup/undecomposed
authority_00268,buildup/undecomposed
authority_00268,extract/A_order_stance
authority_00277,extract/X_equality
authority_00278,extract/X_loyalty
authority_00284,extract/D_entity
authority_00288,extract/X_proportionality
authority_00290,extract/A_order_stance
authority_00296,extract/A_order_stance
authority_00299,buildup/undecomposed
authority_00299,extract/X_proportionality
authority_00305,extract/X_equality
authority_00306,buildup/undecomposed
authority_00317,extract/X_loyalty
authority_00327,buildup/undecomposed
authority_00333,buildup/undecomposed
authority_00346,extract/D_entity
authority_00347,extract/X_proportionality
authority_00354,buildup/undecomposed
authority_00355,extract/D_entity
authority_00360,extract/D_entity
authority_00364,extract/A_order_stance
authority_00371,buildup/undecomposed
authority_00382,buildup/undecomposed
authority_00383,extract/D_entity
authority_00399,buildup/undecomposed
authority_00401,buildup/appraisal
authority_00406,extract/X_equality
authority_00415,buildup/undecomposed
authority_00415,extract/X_equality
authority_00417,extract/D_entity
authority_00424,extract/X_equality
authority_00434,buildup/undecomposed
authority_00439,extract/A_order_stance
authority_00444,extract/D_entity
authority_00450,buildup/undecomposed
authority_00452,extract/X_equality
authority_00457,extract/X_equality
authority_00459,extract/A_order_stance
authority_00465,extract/D_entity
authority_00467,extract/D_entity
authority_00469,extract/X_equality
authority_00505,buildup/undecomposed
authority_00510,buildup/undecomposed
authority_00510,extract/A_order_stance
authority_00512,extract/A_order_values
authority_00516,extract/A_order_values
authority_00521,extract/D_entity
authority_00524,buildup/undecomposed
authority_00541,extract/X_loyalty
authority_00543,buildup/undecomposed
authority_00549,extract/X_equality
authority_00551,extract/D_entity
authority_00551,extract/A_order_values
authority_00556,extract/A_order_stance
authority_00562,extract/X_proportionality
authority_00564,extract/A_order_stance
authority_00571,extract/D_entity
authority_00581,extract/D_entity
authority_00585,extract/D_entity
authority_00587,extract/X_proportionality
authority_00588,extract/X_equality
authority_00589,extract/D_entity
authority_00598,extract/D_entity
authority_00605,buildup/undecomposed
authority_00609,extract/A_order_stance
authority_00611,extract/X_equality
authority_00612,buildup/undecomposed
authority_00614,extract/A_order_stance
authority_00614,extract/A_order_values
authority_00618,extract/X_loyalty
authority_00662,extract/X_proportionality
authority_00669,extract/A_order_stance
authority_00670,extract/X_equality
authority_00677,extract/D_entity
authority_00682,extract/X_proportionality
authority_00690,extract/D_entity
authority_00695,extract/X_equality
authority_00696,buildup/undecomposed
authority_00697,extract/X_equality
authority_00711,buildup/undecomposed
authority_00712,buildup/detection
authority_00716,buildup/undecomposed
authority_00717,buildup/undecomposed
authority_00727,buildup/undecomposed
authority_00731,extract/D_entity
authority_00734,buildup/undecomposed
authority_00738,extract/X_proportionality
authority_00746,extract/X_loyalty
